Word,Meaning,Sentence,Pinyin,Translation
爱 (ài),love,我 爱 爸 爸。,Wǒ ài bàba.,I love Dad.
爱好 (àihào),hobby,我 的 爱 好 是 读 书。,Wǒ de àihào shì dú shū.,My hobby is reading.
八 (bā),eight,我 有 八 个 朋 友。,Wǒ yǒu bā gè péngyou.,I have eight friends.
爸爸 (bàba),dad,爸 爸 在 家 吗？,Bàba zài jiā ma?,Is Dad at home?
吧 (ba),(interjection particle),我 们 走 吧。,Wǒmen zǒu ba.,Let's go.
白 (bái),white,这 是 白 颜 色。,Zhè shì bái yán sè.,This is white.
白天 (báitiān),day,白 天 很 亮。,Báitiān hěn liàng.,The day is very bright.
百 (bǎi),hundred,这 一 百 个 苹 果。,Zhè yī bǎi gè píng guǒ.,These are one hundred apples.
班 (bān),class,他 在 学 生 班。,Tā zài xuéshēng bān.,He is in the student class.
半 (bàn),half,一 半 是 我 的。,Yī bàn shì wǒ de.,Half is mine.
半年 (bàn nián),half a year,我 们 在 这 里 住 了 半 年。,Wǒmen zài zhè lǐ zhù le bàn nián.,We lived here for half a year.
半天 (bàn tiān),half day,我 们 玩儿 了 半 天。,Wǒmen wánr le bàn tiān.,We played for half a day.
帮 (bāng),help,请 你 帮 我 找 一 下。,Qǐng nǐ bāng wǒ zhǎo yī xiàr.,Please help me look for a bit.
帮忙 (bāng máng),help,我 来 帮 忙。,Wǒ lái bāng máng.,I'll come to help.
包 (bāo),package,这 个 包 很 小。,Zhè ge bāo hěn xiǎo.,This package is very small.
包子 (bāo zi),bun,这 个 包 子 很 好 吃。,Zhè ge bāo zi hěn hǎo chī.,This bun is very yummy.
杯 (bēi),cup (measure word),我 喝 了 一 杯 茶。,Wǒ hē le yī bēi chá.,I drank a cup of tea.
杯子 (bēi zi),cup,这 是 谁 的 杯 子？,Zhè shì shéi de bēi zi?,Whose cup is this?
北 (běi),north,学 校 在 北 边。,Xuéxiào zài běi biān.,The school is on the north side.
北边 (běi biān),north side,我 们 去 北 边 走 走。,Wǒmen qù běi biān zǒu zǒu.,Let's go walk around on the north side.
北京 (Běijīng),Beijing,我 在 北京 学 习 汉 语。,Wǒ zài Běijīng xuéxí Hànyǔ.,I am studying Chinese in Beijing.
本 (běn),(measure word for books or volumes),这 是 谁 的 课 本？,Zhè shì shéi de kèběn?,Whose textbook is this?
本子 (běn zi),book,这 个 本 子 很 有 用。,Zhè ge běn zi hěn yǒu yòng.,This book is very useful.
比 (bǐ),particle used for comparison,他 比 我 高。,Tā bǐ wǒ gāo.,He is taller than me.
别 (bié),don’t,你 别 去 那 儿 玩儿。,Nǐ bié qù nàr wánr.,Don't go play there.
别的 (bié de),other,你 还 有 别的 事 吗？,Nǐ hái yǒu bié de shì ma?,Do you still have other things (to do)?
别人 (bié·rén),other people,别 人 不 知 道 这 件 事。,Bié·rén bù zhīdào zhè jiàn shì.,Other people don't know about this matter.
病 (bìng),disease,他 生 病 了。,Tā shēngbìng le.,He fell ill.
病人 (bìng rén),patient,医 生 在 看 病 人。,Yīshēng zài kàn bìng rén.,The doctor is seeing the patient.
不大 (bú dà),not big,这 个 房 间 不 大。,Zhè ge fángjiān bú dà.,This room is not big.
不对 (bú duì),wrong,这 个 答 案 是 不 对。,Zhè ge dá'àn shì bú duì.,This answer is wrong.
不客气 (bú kè qì),you’re welcome,你 不 用 说 不客气。,Nǐ bú yòng shuō bú kè qì.,"You don't need to say ""you're welcome."""
不用 (bú yòng),no need to,你 不 用 帮 忙 了。,Nǐ bú yòng bāng máng le.,You don't need to help anymore.
不 (bù),no,我 不 去 上 学。,Wǒ bù qù shàng xué.,I am not going to school.
菜 (cài),dish,这 个 菜 很 好 吃。,Zhè ge cài hěn hǎo chī.,This dish is very yummy.
茶 (chá),tea,请 喝 茶。,Qǐng hē chá.,Please drink tea.
差 (chà),differ from; bad; short of,他 的 汉 语 很 差。,Tā de Hànyǔ hěn chà.,His Chinese is very bad.
常 (cháng),often,我 常 常 看 电 视。,Wǒ cháng cháng kàn diànshì.,I often watch TV.
常常 (cháng cháng),often,你 常 常 回 家 吗？,Nǐ cháng cháng huí jiā ma?,Do you often go back home?
唱 (chàng),sing,你 会 唱 歌 吗？,Nǐ huì chàng gē ma?,Can you sing a song?
唱歌 (chàng gē),sing,我 爱 唱 歌。,Wǒ ài chàng gē.,I love to sing.
车 (chē),car,我 们 坐 车 去 学 校。,Wǒmen zuò chē qù xuéxiào.,We take a car to go to school.
车票 (chē piào),ticket,这 张 车票 是 我 的。,Zhè zhāng chē piào shì wǒ de.,This car ticket is mine.
车上 (chē shàng),in the car,他 在 车上 打 电 话。,Tā zài chē shàng dǎ diàn huà.,He is making a phone call in the car.
车站 (chē zhàn),station,车 站 在 哪 里？,Chē zhàn zài nǎ lǐ?,Where is the station?
吃 (chī),eat,你 想 吃 什 么？,Nǐ xiǎng chī shénme?,What do you want to eat?
